COUNTRY_CODE,COUNTRY_NAME,OPERATION_TYPE,COUNT
ABW,ABW,MANUFACTURE,1
ARE,United Arab Emirates,ANALYSIS,1
ARE,United Arab Emirates,MANUFACTURE,6
ARE,United Arab Emirates,PACK,2
ARG,Argentina,ANALYSIS,7
ARG,Argentina,API MANUFACTURE,9
ARG,Argentina,LABEL,2
ARG,Argentina,MANUFACTURE,7
ARG,Argentina,PACK,2
ARG,Argentina,PARTICLE SIZE REDUCTION,1
ARM,Armenia,MANUFACTURE,1
AUS,Australia,ANALYSIS,22
AUS,Australia,API MANUFACTURE,6
AUS,Australia,LABEL,18
AUS,Australia,MANUFACTURE,29
AUS,Australia,PACK,19
AUS,Australia,PARTICLE SIZE REDUCTION,1
AUS,Australia,RELABEL,2
AUS,Australia,REPACK,2
AUS,Australia,STERILIZE,4
AUT,Austria,ANALYSIS,27
AUT,Austria,API MANUFACTURE,15
AUT,Austria,LABEL,9
AUT,Austria,MANUFACTURE,15
AUT,Austria,PACK,10
AUT,Austria,RELABEL,5
AUT,Austria,REPACK,6
AUT,Austria,STERILIZE,1
BEL,Belgium,ANALYSIS,35
BEL,Belgium,API MANUFACTURE,15
BEL,Belgium,DISTRIBUTE,1
BEL,Belgium,LABEL,20
BEL,Belgium,MANUFACTURE,26
BEL,Belgium,PACK,20
BEL,Belgium,RELABEL,1
BEL,Belgium,REPACK,1
BEL,Belgium,STERILIZE,8
BGD,Bangladesh,ANALYSIS,8
BGD,Bangladesh,LABEL,5
BGD,Bangladesh,MANUFACTURE,10
BGD,Bangladesh,PACK,7
BGR,Bulgaria,ANALYSIS,4
BGR,Bulgaria,API MANUFACTURE,2
BGR,Bulgaria,LABEL,3
BGR,Bulgaria,MANUFACTURE,5
BGR,Bulgaria,MEDICATED ANIMAL FEED MANUFACTURE,1
BGR,Bulgaria,PACK,3
BGR,Bulgaria,STERILIZE,1
BOL,BOL,MANUFACTURE,1
BRA,Brazil,ANALYSIS,19
BRA,Brazil,API MANUFACTURE,11
BRA,Brazil,LABEL,7
BRA,Brazil,MANUFACTURE,9
BRA,Brazil,MEDICATED ANIMAL FEED MANUFACTURE,2
BRA,Brazil,PACK,6
BRA,Brazil,RELABEL,2
BRA,Brazil,REPACK,1
BRA,Brazil,STERILIZE,2
BRB,BRB,LABEL,1
BRB,BRB,MANUFACTURE,1
CAN,Canada,ANALYSIS,103
CAN,Canada,API MANUFACTURE,43
CAN,Canada,DISTRIBUTE,1
CAN,Canada,LABEL,88
CAN,Canada,MANUFACTURE,140
CAN,Canada,MEDICATED ANIMAL FEED MANUFACTURE,7
CAN,Canada,PACK,91
CAN,Canada,PARTICLE SIZE REDUCTION,1
CAN,Canada,RELABEL,17
CAN,Canada,REPACK,19
CAN,Canada,SIP FOREIGN SELLER,2
CAN,Canada,STERILIZE,6
CHE,Switzerland,ANALYSIS,78
CHE,Switzerland,API MANUFACTURE,41
CHE,Switzerland,LABEL,31
CHE,Switzerland,MANUFACTURE,60
CHE,Switzerland,PACK,31
CHE,Switzerland,PARTICLE SIZE REDUCTION,3
CHE,Switzerland,RELABEL,3
CHE,Switzerland,REPACK,5
CHE,Switzerland,STERILIZE,4
CHL,Chile,ANALYSIS,1
CHL,Chile,API MANUFACTURE,1
CHL,Chile,LABEL,1
CHL,Chile,MANUFACTURE,1
CHL,Chile,PACK,1
CHN,China,ANALYSIS,262
CHN,China,API MANUFACTURE,532
CHN,China,LABEL,330
CHN,China,MANUFACTURE,636
CHN,China,MEDICATED ANIMAL FEED MANUFACTURE,5
CHN,China,PACK,148
CHN,China,PARTICLE SIZE REDUCTION,5
CHN,China,RELABEL,16
CHN,China,REPACK,25
CHN,China,STERILIZE,24
COG,COG,API MANUFACTURE,1
COL,Colombia,ANALYSIS,2
COL,Colombia,LABEL,3
COL,Colombia,MANUFACTURE,9
COL,Colombia,PACK,3
COL,Colombia,STERILIZE,1
CRI,Costa Rica,ANALYSIS,2
CRI,Costa Rica,API MANUFACTURE,1
CRI,Costa Rica,MANUFACTURE,2
CYM,CYM,LABEL,2
CZE,Czech Republic,ANALYSIS,16
CZE,Czech Republic,API MANUFACTURE,10
CZE,Czech Republic,DISTRIBUTE,1
CZE,Czech Republic,LABEL,4
CZE,Czech Republic,MANUFACTURE,7
CZE,Czech Republic,PACK,4
CZE,Czech Republic,PARTICLE SIZE REDUCTION,1
CZE,Czech Republic,RELABEL,1
CZE,Czech Republic,REPACK,1
CZE,Czech Republic,STERILIZE,1
DEU,Germany,ANALYSIS,176
DEU,Germany,API MANUFACTURE,89
DEU,Germany,LABEL,73
DEU,Germany,MANUFACTURE,101
DEU,Germany,PACK,82
DEU,Germany,PARTICLE SIZE REDUCTION,6
DEU,Germany,POSITRON EMISSION TOMOGRAPHY DRUG PRODUCTION,3
DEU,Germany,RELABEL,5
DEU,Germany,REPACK,10
DEU,Germany,STERILIZE,15
DNK,Denmark,ANALYSIS,18
DNK,Denmark,API MANUFACTURE,21
DNK,Denmark,LABEL,10
DNK,Denmark,MANUFACTURE,19
DNK,Denmark,PACK,12
DOM,DOM,ANALYSIS,1
DOM,DOM,API MANUFACTURE,2
DOM,DOM,LABEL,4
DOM,DOM,MANUFACTURE,5
DOM,DOM,PACK,3
DOM,DOM,RELABEL,1
DOM,DOM,REPACK,2
ECU,Ecuador,MANUFACTURE,1
EGY,Egypt,ANALYSIS,1
EGY,Egypt,LABEL,1
EGY,Egypt,MANUFACTURE,4
EGY,Egypt,PACK,1
ESP,Spain,ANALYSIS,95
ESP,Spain,API MANUFACTURE,58
ESP,Spain,LABEL,36
ESP,Spain,MANUFACTURE,58
ESP,Spain,PACK,41
ESP,Spain,PARTICLE SIZE REDUCTION,2
ESP,Spain,RELABEL,1
ESP,Spain,REPACK,2
ESP,Spain,STERILIZE,9
EST,Estonia,ANALYSIS,2
EST,Estonia,API MANUFACTURE,1
EST,Estonia,MANUFACTURE,1
FIN,Finland,ANALYSIS,15
FIN,Finland,API MANUFACTURE,5
FIN,Finland,LABEL,9
FIN,Finland,MANUFACTURE,6
FIN,Finland,PACK,7
FIN,Finland,STERILIZE,2
FRA,France,ANALYSIS,125
FRA,France,API MANUFACTURE,65
FRA,France,LABEL,55
FRA,France,MANUFACTURE,91
